InputID,TargetID,Distance
C07,C24,6887.79020900669
C07,C25,9902.37753356904
C07,C26,10953.6192678959
C07,C27,11372.5186125593
C07,C28,11645.6130829358
C07,C29,11532.2586956286
C07,C30,11471.0264679971
C07,C31,12250.6169250865
C07,C32,12773.5524465699
C08,C01,7942.25646102686
C08,C02,7066.65339182911
C08,C03,3504.10011566144
C08,C04,2790.63799720088
C08,C05,1228.74131792429
C08,C06,1060.77549241094
C08,C07,528.544934703013
C08,C09,390.795404618511
C08,C10,674.149460720286
C08,C11,3866.88197207617
C08,C12,4251.05017327361
C08,C13,4604.65803149533
C08,C14,4526.91331772815
C08,C15,4840.65983604484
C08,C17,5096.61290829816
C08,C18,5300.65789014065
C08,C19,5462.38081408981
C08,C20,4758.63295362077
C08,C22,5916.51713248879
C08,C23,6360.81249093856
C08,C24,6485.50904456866
C08,C25,9618.44859044137
C08,C26,10716.105941058
C08,C27,11140.1204295019
C08,C28,11424.7596635413
C08,C29,11321.6662787274
C08,C30,11271.0767935433
C08,C31,12147.8938949642
C08,C32,12694.9508367775
C09,C01,8332.74863074264
C09,C02,7457.35306350224
C09,C03,3888.2403700096
C09,C04,3177.0614026011
C09,C05,1599.85073370939
C09,C06,1451.29728349371
C09,C07,910.188962712402
C09,C08,390.795404618546
C09,C10,294.171624058445
C09,C11,3483.11299325808
C09,C12,3867.74870060879
C09,C13,4221.8558888284
C09,C14,4151.79828104146
C09,C15,4461.52609371412
C09,C17,4714.10688329627
C09,C18,4921.60218871966
C09,C19,5080.82477798064
C09,C20,4387.95948615861
C09,C22,5677.20628771048
C09,C23,6112.28928786251
C09,C24,6288.93824062627
C09,C25,9526.07611222149
C09,C26,10661.4203799856
C09,C27,11089.0830770553
C09,C28,11382.843432187
C09,C29,11288.2491898041
C09,C30,11246.3317507794
C09,C31,12197.5145092145
C09,C32,12761.8791899651
C10,C01,8612.38628391382
C10,C02,7735.49518756144
C10,C03,4177.78245826022
C10,C04,3464.77869116289
C10,C05,1844.57189513557
C10,C06,1732.41518356451
C10,C07,1200.13253946912
C10,C08,674.149460720118
C10,C09,294.171624058523
C10,C11,3193.00808954274
C10,C12,3577.33260571047
C10,C13,3931.13189284755
C10,C14,3858.24280168273
C10,C15,4169.06354108259
C10,C17,4423.22155562705
C10,C18,4629.13177212156
C10,C19,4789.43096909907
C10,C20,4093.87443239164
C10,C22,5433.3875128002
C10,C23,5862.94892562468
C10,C24,6069.04416445845
C10,C25,9368.52188800222
C10,C26,10528.3310307605
C10,C27,10958.1808031909
C10,C28,11258.0152141245
C10,C29,11169.3782947917
C10,C30,11133.5471378263
C10,C31,12137.773502524
C10,C32,12714.7370718658
C11,C01,11783.7483831721
C11,C02,10902.600671969
C11,C03,7370.78430894703
C11,C04,6657.18603084468
C11,C05,4958.4733941314
C11,C06,4919.92529466876
C11,C07,4392.83839015779
C11,C08,3866.88197207616
C11,C09,3483.11299325827
C11,C10,3193.00808954272
C11,C12,385.172061031568
C11,C13,740.054476499609
C11,C14,763.464424834125
C11,C15,1002.21359662634
C11,C17,1232.38216570379
C11,C18,1456.38622366969
C11,C19,1601.39821596802
C11,C20,1049.06329701567
C11,C22,3887.9137919622
C11,C23,4133.30375863467
C11,C24,4841.26416446161
C11,C25,8710.97410380476
C11,C26,10112.3211809406
C11,C27,10547.9161509293
C11,C28,10907.6881258476
C11,C29,10894.3658192623
C11,C30,10932.214440007
C11,C31,12492.8083904527
C11,C32,13184.8671089683
C12,C01,12163.5577209593
C12,C02,11281.9266409932
C12,C03,7755.09163941705
C12,C04,7041.06711158848
C12,C05,5336.18251187609
C12,C06,5303.12843980204
C12,C07,4777.3068654463
C12,C08,4251.05017327357
C12,C09,3867.74870060869
C12,C10,3577.33260571036
C12,C11,385.172061031382
C12,C13,354.922120254577
C12,C14,463.352826068805
C12,C15,628.431422293671
C12,C17,847.210140875903
C12,C18,1075.70356218018
C12,C19,1216.40244045858
C12,C20,747.383604695118
C12,C22,3814.50187528526
C12,C23,4020.39888069638
C12,C24,4789.65457525376
C12,C25,8680.72633923939
C12,C26,10102.1997048364
C12,C27,10535.742877838
C12,C28,10900.8760551129
C12,C29,10896.9858705294
C12,C30,10943.7152325185
C12,C31,12563.5042284626
C12,C32,13266.2697103203
C13,C01,12512.5846248748
C13,C02,11630.5112101993
C13,C03,8108.75730987187
C13,C04,7394.28874383339
C13,C05,5683.73970565571
C13,C06,5655.73080709138
C13,C07,5131.20628769054
C13,C08,4604.65803149519
C13,C09,4221.85588882838
C13,C10,3931.13189284757
C13,C11,740.054476499514
C13,C12,354.922120254475
C13,C14,364.384634403333
C13,C15,305.353834378123
C13,C17,492.426553572931
C13,C18,727.29094794689
C13,C19,861.529304212808
C13,C20,560.285344507222
C13,C22,3773.13826140318
C13,C23,3939.6501652029
C13,C24,4761.86415872592
C13,C25,8660.56952073514
C13,C26,10098.5109283124
C13,C27,10529.626479024
C13,C28,10899.2867611724
C13,C29,10904.0920421407
