fid,InputID,TargetID,Distance
"293",M12,M07,1063.34970958925
"294",M12,M08,821.853414036713
"295",M12,M09,812.642991967996
"296",M12,M10,423.845356065
"297",M12,M11,248.545817734135
"298",M12,M13,283.847255537871
"299",M12,M14,407.205547150672
"300",M12,M15,514.664403573844
"301",M12,M16,618.255872541411
"302",M12,M17,788.211651026188
"303",M12,M18,730.922032151355
"304",M12,M19,706.835769180907
"305",M12,M20,743.692658790975
"306",M12,M21,869.924574706416
"307",M12,M22,1816.06076008937
"308",M12,M23,1546.06206261921
"309",M12,M24,2006.56107524534
"310",M12,M25,2711.9057369121
"311",M12,M26,3302.25956326284
"312",M12,M27,3830.69246859583
"313",M13,M01,6856.45490757741
"314",M13,M02,4634.38506992717
"315",M13,M03,2844.07894267517
"316",M13,M04,1964.75021881558
"317",M13,M05,1695.83853580944
"318",M13,M06,1389.72270200837
"319",M13,M07,1059.93234319909
"320",M13,M08,835.053578224769
"321",M13,M09,918.712004918153
"322",M13,M10,595.169041622724
"323",M13,M11,471.196165878184
"324",M13,M12,283.847255537961
"325",M13,M14,278.751294760206
"326",M13,M15,303.641766131411
"327",M13,M16,491.533802394129
"328",M13,M17,599.981036127996
"329",M13,M18,476.854976298361
"330",M13,M19,423.118084841616
"331",M13,M20,512.28817336155
"332",M13,M21,741.648103953314
"333",M13,M22,1738.32364671994
"334",M13,M23,1364.94572683336
"335",M13,M24,1748.17822321612
"336",M13,M25,2436.52359148341
"337",M13,M26,3018.67132242925
"338",M13,M27,3549.14095259442
"339",M14,M01,7114.40261705365
"340",M14,M02,4889.66856773899
"341",M14,M03,3093.8963449994
"342",M14,M04,2223.14236281005
"343",M14,M05,1965.53878133234
"344",M14,M06,1664.59978443391
"345",M14,M07,1338.07215455148
"346",M14,M08,1110.7840375214
"347",M14,M09,1172.68947091609
"348",M14,M10,813.105055076941
"349",M14,M11,652.095484309319
"350",M14,M12,407.205547150894
"351",M14,M13,278.75129476024
"352",M14,M15,150.549596536433
"353",M14,M16,221.793489896052
"354",M14,M17,382.127190715937
"355",M14,M18,385.678753286255
"356",M14,M19,486.099448722978
"357",M14,M20,726.352920028962
"358",M14,M21,1007.89944921055
"359",M14,M22,2009.74904474557
"360",M14,M23,1594.04308443088
"361",M14,M24,1877.15949852113
"362",M14,M25,2509.71820085158
"363",M14,M26,3030.67888000409
"364",M14,M27,3509.98191512669
"365",M15,M01,7158.01793971099
"366",M15,M02,4936.85089725363
"367",M15,M03,3147.55158989458
"368",M15,M04,2266.92350981598
"369",M15,M05,1992.05291506703
"370",M15,M06,1679.60028618823
"371",M15,M07,1340.73913986272
"372",M15,M08,1125.42578749547
"373",M15,M09,1222.23302836427
"374",M15,M10,890.250543961598
"375",M15,M11,746.440978482537
"376",M15,M12,514.664403574105
"377",M15,M13,303.641766131492
"378",M15,M14,150.549596536289
"379",M15,M16,230.379910865646
"380",M15,M17,296.345304085274
"381",M15,M18,236.40561807737
"382",M15,M19,354.322333129028
"383",M15,M20,645.294819268602
"384",M15,M21,966.088240819826
"385",M15,M22,1968.91954656149
"386",M15,M23,1507.47187260831
"387",M15,M24,1742.87127453183
"388",M15,M25,2363.1034546574
"389",M15,M26,2880.13485611306
"390",M15,M27,3362.54187818754
"391",M16,M01,7336.19592810535
"392",M16,M02,5111.42340979524
"393",M16,M03,3315.35757832081
"394",M16,M04,2444.88583560079
"395",M16,M05,2185.22120047394
"396",M16,M06,1881.22307145157
"397",M16,M07,1549.95721517205
"398",M16,M08,1326.58727032857
"399",M16,M09,1394.47402425289
"400",M16,M10,1032.22949122019
"401",M16,M11,866.209133112557
"402",M16,M12,618.255872541358
"403",M16,M13,491.533802393864
"404",M16,M14,221.79348989592
"405",M16,M15,230.379910865807
"406",M16,M17,214.461139477746
"407",M16,M18,365.210399912541
"408",M16,M19,561.519814510313
"409",M16,M20,875.127629639605
"410",M16,M21,1193.27485108434
"411",M16,M22,2196.83482590461
"412",M16,M23,1734.63364980672
"413",M16,M24,1926.16439824895
"414",M16,M25,2505.57773555838
"415",M16,M26,2974.10323026813
"416",M16,M27,3412.36420695353
"417",M17,M01,7452.77775728966
"418",M17,M02,5232.38233300862
"419",M17,M03,3443.82676732735
"420",M17,M04,2562.37501469954
"421",M17,M05,2283.4919616699
"422",M17,M06,1967.12649360296
"423",M17,M07,1623.48050881351
"424",M17,M08,1414.72799371192
"425",M17,M09,1518.54975763622
"426",M17,M10,1182.03396689593
"427",M17,M11,1029.91837882162
"428",M17,M12,788.211651026308
"429",M17,M13,599.981036127772
"430",M17,M14,382.127190715957
"431",M17,M15,296.345304085097
"432",M17,M16,214.461139477914
"433",M17,M18,259.537914103204
"434",M17,M19,502.990881229122
"435",M17,M20,864.369682875934
"436",M17,M21,1219.91571951493
"437",M17,M22,2212.49471522448
"438",M17,M23,1690.12323681896
"439",M17,M24,1790.68780014691
"440",M17,M25,2330.34451232406
"441",M17,M26,2772.97333526991
"442",M17,M27,3200.04636821388
"443",M18,M01,7268.27638709076
"444",M18,M02,5054.43806010322
"445",M18,M03,3277.99883262519
"446",M18,M04,2388.03636006691
"447",M18,M05,2091.5107580196
"448",M18,M06,1766.37682643964
"449",M18,M07,1415.80414697336
"450",M18,M08,1222.84637788567
"451",M18,M09,1362.75098966445
"452",M18,M10,1069.65230282665
"453",M18,M11,946.030031881409
"454",M18,M12,730.922032151598
"455",M18,M13,476.85497629812
"456",M18,M14,385.67875328648
"457",M18,M15,236.405618077683
"458",M18,M16,365.21039991265
"459",M18,M17,259.537914103229
"460",M18,M19,246.399256840595
"461",M18,M20,616.664894255761
"462",M18,M21,985.218519620753
"463",M18,M22,1966.25291509544
"464",M18,M23,1430.75739282719
"465",M18,M24,1562.02607353266
"466",M18,M25,2147.63040810965
"467",M18,M26,2646.92845223991
"468",M18,M27,3126.35433760449
"469",M19,M01,7062.97858133517
"470",M19,M02,4855.69027355399
"471",M19,M03,3092.23553048629
"472",M19,M04,2198.21817960312
"473",M19,M05,1887.72682851252
"474",M19,M06,1556.78211322918
"475",M19,M07,1202.68432461281
"476",M19,M08,1027.55613439104
"477",M19,M09,1201.15911009993
"478",M19,M10,962.391963529386
