InputID,TargetID,Distance
B08,B23,4376.54978918979
B08,B24,4917.40306873206
B08,B25,8327.66390506739
B09,B02,4813.67901365787
B09,B03,1242.38563949614
B09,B04,668.516515169121
B09,B05,834.231667684059
B09,B06,799.589141109393
B09,B07,480.316675237807
B09,B08,301.987332209504
B09,B10,351.752887326511
B09,B11,669.880649071876
B09,B12,838.866780566763
B09,B13,1050.09025810191
B09,B14,1218.81914984844
B09,B15,995.47930535896
B09,B16,1266.14136259274
B09,B17,1405.14019749231
B09,B18,1220.4459507179
B09,B19,1303.73871415804
B09,B20,1588.20404981885
B09,B21,1878.92828840495
B09,B22,2099.67565231522
B09,B23,4146.05662111882
B09,B24,4669.80231623847
B09,B25,8048.37959528457
B10,B02,5164.80099588996
B10,B03,1547.14072900188
B10,B04,1019.54334673212
B10,B05,1176.97040468427
B10,B06,1121.619476612
B10,B07,826.733126051079
B10,B08,629.992819739962
B10,B09,351.752887326686
B10,B11,332.083926326722
B10,B12,536.899208848473
B10,B13,779.096223216985
B10,B14,986.564733028011
B10,B15,666.761149793768
B10,B16,976.236024642674
B10,B17,1137.13353847881
B10,B18,888.759663765088
B10,B19,953.884798185717
B10,B20,1237.68279893463
B10,B21,1533.38187168324
B10,B22,1758.06478229401
B10,B23,3800.74007354756
B10,B24,4319.43847985041
B10,B25,7700.48728137016
B11,B02,5463.97002085174
B11,B03,1878.76443611714
B11,B04,1336.10071696841
B11,B05,1463.82306850157
B11,B06,1383.15721278706
B11,B07,1124.92304561456
B11,B08,915.978016675317
B11,B09,669.880649072012
B11,B10,332.08392632664
B11,B12,237.013387937668
B11,B13,494.752881660799
B11,B14,729.781809494405
B11,B15,335.30463365447
B11,B16,665.20892455734
B11,B17,840.3267523523
B11,B18,556.681886751757
B11,B19,641.790582645282
B11,B20,926.99069836734
B11,B21,1209.42208647917
B11,B22,1430.06203683473
B11,B23,3476.24577577022
B11,B24,4004.73767411364
B11,B25,7420.59551919031
B12,B02,5570.97744597376
B12,B03,2073.93414386872
B12,B04,1486.01773324107
B12,B05,1574.80887809448
B12,B06,1470.47195379021
B12,B07,1255.72299908414
B12,B08,1041.65037459903
B12,B09,838.866780566795
B12,B10,536.899208848571
B12,B11,237.013387937687
B12,B13,257.767664179076
B12,B14,495.933869321944
B12,B15,193.283305758379
B12,B16,439.387860894992
B12,B17,606.483540404476
B12,B18,403.9493270011
B12,B19,577.944446954179
B12,B20,847.567943181918
B12,B21,1085.78569058622
B12,B22,1288.0437365135
B12,B23,3336.06015790316
B12,B24,3886.77569568341
B12,B25,7352.9927378529
B13,B02,5691.48871941563
B13,B03,2292.42448705933
B13,B04,1668.47458969632
B13,B05,1720.3205644263
B13,B06,1595.67441358809
B13,B07,1425.50579892906
B13,B08,1212.84405628381
B13,B09,1050.09025810212
B13,B10,779.096223217064
B13,B11,494.752881660771
B13,B12,257.767664179125
B13,B14,246.449704254407
B13,B15,292.129877504811
B13,B16,226.203960467255
B13,B17,358.830286565521
B13,B18,367.543405288978
B13,B19,619.042127723602
B13,B20,837.718329021427
B13,B21,1004.30539972347
B13,B22,1174.21869427243
B13,B23,3201.35468623365
B13,B24,3776.24621701912
B13,B25,7292.87558873013
B14,B02,5731.92236794044
B14,B03,2454.69447411738
B14,B04,1795.5307641104
B14,B05,1808.5345885927
B14,B06,1666.01792925804
B14,B07,1543.78203532861
B14,B08,1337.71638408076
B14,B09,1218.81914984861
B14,B10,986.564733028091
B14,B11,729.781809494393
B14,B12,495.933869321941
B14,B13,246.449704254447
B14,B15,530.65810129254
B14,B16,273.257846214878
B14,B17,240.428867495634
B14,B18,541.407859945668
B14,B19,805.180039178591
B14,B20,976.084442435786
B14,B21,1071.8203546195
B14,B22,1200.31116466821
B14,B23,3173.21022136705
B14,B24,3772.11066430835
B14,B25,7332.51305249873
B15,B02,5756.99279606905
B15,B03,2213.85321590117
B15,B04,1654.73686648057
B15,B05,1757.77987955007
B15,B06,1658.61672538627
B15,B07,1431.65173465663
B15,B08,1218.53179770435
B15,B09,995.479305358847
B15,B10,666.761149793938
B15,B11,335.304633654455
B15,B12,193.283305758379
B15,B13,292.12987750477
B15,B14,530.658101292445
B15,B16,368.719698593373
B15,B17,560.112133921704
B15,B18,225.101582211849
B15,B19,387.045558433441
B15,B20,654.287584883881
B15,B21,899.801397259582
B15,B22,1109.47903880421
B15,B23,3158.67792998706
B15,B24,3701.80095489497
B15,B25,7160.14300317089
B16,B02,5913.48237909138
B16,B03,2506.92145453718
B16,B04,1892.75700952023
B16,B05,1946.36023806868
B16,B06,1820.34835033185
B16,B07,1650.99375311213
B16,B08,1437.99206958941
B16,B09,1266.14136259234
B16,B10,976.236024642536
B16,B11,665.208924557284
B16,B12,439.387860894904
B16,B13,226.20396046701
B16,B14,273.257846215
B16,B15,368.719698593379
B16,B17,193.429588269819
B16,B18,289.605178373278
B16,B19,548.636915720109
B16,B20,702.987454904027
B16,B21,813.281358459218
B16,B22,964.161451449123
B16,B23,2979.4239348459
B16,B24,3560.14992725874
B16,B25,7093.58476005255
B17,B02,5971.20419666677
B17,B03,2647.24225991073
B17,B04,2008.24158983145
B17,B05,2036.47717142118
B17,B06,1898.54387675678
B17,B07,1759.98360013631
B17,B08,1550.30134152995
B17,B09,1405.14019749243
B17,B10,1137.1335384789
B17,B11,840.32675235246
B17,B12,606.483540404516
B17,B13,358.830286565367
B17,B14,240.428867495445
B17,B15,560.112133921697
B17,B16,193.429588269835
B17,B18,469.891584017965
B17,B19,716.452990858076
B17,B20,824.963491360874
B17,B21,865.219447640508
B17,B22,972.801159663748
B17,B23,2932.79532335746
B17,B24,3533.02117240142
B17,B25,7100.72079291924
B18,B02,5974.92200434071
B18,B03,2434.78583387156
B18,B04,1879.60950371279
B18,B05,1978.12927246179
B18,B06,1874.17899976941
B18,B07,1655.10242848702
B18,B08,1441.58935812706
B18,B09,1220.44595071806
B18,B10,888.75966376524
B18,B11,556.681886751892
B18,B12,403.949327001231
B18,B13,367.54340528939
B18,B14,541.407859945557
B18,B15,225.101582211682
B18,B16,289.605178373412
B18,B17,469.891584018078
B18,B19,263.77591536012
B18,B20,472.711755553093
B18,B21,682.218683953824
B18,B22,885.890003118485
B18,B23,2934.98863707991
B18,B24,3482.82742414103
B18,B25,6959.21731820309
B19,B02,6105.74599455159
B19,B03,2466.7444519602
B19,B04,1972.23535370462
B19,B05,2105.26996473331
B19,B06,2019.51247476132
B19,B07,1766.33994864191
B19,B08,1557.76589937551
B19,B09,1303.73871415792
B19,B10,953.884798185985
B19,B11,641.790582645126
B19,B12,577.944446954138
B19,B13,619.042127723534
B19,B14,805.180039178595
B19,B15,387.045558433395
B19,B16,548.636915720151
B19,B17,716.452990857934
B19,B18,263.775915360386
B19,B20,285.282355100686
B19,B21,588.943368657994
B19,B22,824.876822830243
B19,B23,2850.7858417683
B19,B24,3366.07390509271
B19,B25,6786.86990128957
B20,B02,6390.85911294587
B20,B03,2738.37410492437
B20,B04,2256.71342430962
B20,B05,2390.15637252046
B20,B06,2302.46809834876
B20,B07,2051.62197835894
B20,B08,1842.93177591323
B20,B09,1588.20404981911
B20,B10,1237.68279893454
B20,B11,926.990698367042
B20,B12,847.567943181741
B20,B13,837.718329021348
B20,B14,976.084442435453
B20,B15,654.28758488371
B20,B16,702.987454903964
B20,B17,824.963491361071
B20,B18,472.711755552852
B20,B19,285.282355100211
B20,B21,334.548298588489
B20,B22,576.670428765546
B20,B23,2573.21544818304
B20,B24,3081.76069780216
B20,B25,6507.22127050617
B21,B02,6656.36905837362
B21,B03,3055.62397581533
B21,B04,2545.4327059957
B21,B05,2657.5692315735
B21,B06,2556.25097584215
B21,B07,2328.98320966214
B21,B08,2116.7529730609
B21,B09,1878.92828840524
B21,B10,1533.38187168303
B21,B11,1209.42208647932
B21,B12,1085.78569058588
B21,B13,1004.30539972308
B21,B14,1071.8203546196
B21,B15,899.801397259619
B21,B16,813.281358459525
B21,B17,865.219447640732
B21,B18,682.218683953673
B21,B19,588.94336865786
B21,B20,334.548298588502
B21,B22,242.156949601927
B21,B23,2267.44632203242
B21,B24,2802.0015026299
B21,B25,6288.72448824695
B22,B02,6855.40074722741
B22,B03,3288.85213849471
B22,B04,2763.1925146089
B22,B05,2862.7661928677
B22,B06,2753.79499734203
B22,B07,2540.90706396713
B22,B08,2327.46967554292
B22,B09,2099.675652315
B22,B10,1758.06478229418
B22,B11,1430.06203683455
B22,B12,1288.04373651355
B22,B13,1174.21869427228
B22,B14,1200.31116466852
B22,B15,1109.47903880415
B22,B16,964.161451449194
B22,B17,972.801159663676
B22,B18,885.890003118798
B22,B19,824.876822830404
B22,B20,576.670428765776
B22,B21,242.156949601655
B22,B23,2049.21565507914
B22,B24,2604.28859864883
B22,B25,6132.8805485282
B23,B02,8892.75490869212
B23,B03,5310.01231002799
B23,B04,4811.46409508202
B23,B05,4909.56187212145
B23,B06,4794.88971625372
B23,B07,4590.08413245597
B23,B08,4376.54978919008
B23,B09,4146.05662111888
B23,B10,3800.74007354776
B23,B11,3476.24577577032
B23,B12,3336.06015790305
B23,B13,3201.35468623332
