station;station_old;Zone;Site;Latitude;Longitude;Bottom depth (m);Buoy depth (m);Receiver ID;Date in;Date out;Detections;Status;Observations
C04;C04;Cap de Creus;Cap de Creus Nord;42,34793;3,24085;22,1;bottom;128602;2020-07-22;2021-09-14;27;downloaded;
C04;C04;Cap de Creus;Cap de Creus Nord;42,34793;3,24085;22,1;bottom;136603;2021-09-14;;;active;
C05;C05;Cap de Creus;Tres Frares;42,33730;3,25788;18,7;bottom;105302;2020-07-22;2021-09-14;132;downloaded;
C05;C05;Cap de Creus;Tres Frares;42,33730;3,25788;18,7;bottom;136738;2021-09-14;;;active;
C06;C06;Cap de Creus;Tres Frares;42,34143;3,26008;21,9;bottom;105278;2020-07-22;2021-07-22;304;downloaded;
C06;C06;Cap de Creus;Tres Frares;42,34143;3,26008;21,9;bottom;136584;2021-07-22;;;active;
C07;C07;Cap de Creus;Tres Frares;42,34136;3,26690;19,8;bottom;125473;2020-07-22;2021-09-13;226;downloaded;voir tablette réparation
C07;C07;Cap de Creus;Tres Frares;42,34136;3,26690;19,8;bottom;???;2021-09-13;;;active;
C08;C08;Cap de Creus;Tres Frares;42,33915;3,27258;16,3;bottom;105307;2020-07-22;2021-09-14;;in reparation;NO DEJA DESCARGAR. Enviado a Madrid.
C08;C08;Cap de Creus;Tres Frares;42,33915;3,27258;16,3;bottom;136605;2021-09-14;;;active;
C09;C09;Cap de Creus;Tres Frares;42,33846;3,27723;22;bottom;136595;2020-07-27;2021-09-14;180;downloaded;
C09;C09;Cap de Creus;Tres Frares;42,33846;3,27723;22;bottom;136594;2021-09-14;;;active;
C10;C10;Cap de Creus;Tres Frares;42,33706;3,28026;16;bottom;136599;2020-07-27;2021-09-14;121;downloaded;
C10;C10;Cap de Creus;Tres Frares;42,33706;3,28026;16;bottom;100614;2021-09-14;;;active;
C11;C11;Cap de Creus;Encalladora;42,32631;3,31619;20;bottom;136598;2020-07-27;2021-09-15;4547;downloaded;
C11;C11;Cap de Creus;Encalladora;42,32631;3,31619;20;bottom;130679;2021-09-15;;;active;
C12;C12;Cap de Creus;Encalladora;42,32479;3,32039;;;136606;2020-07-24;2021-09-15;9371;downloaded;
