InputID,TargetID,Distance
G09,G01,7697.09007952819
G09,G02,6517.59016929734
G09,G03,5668.39526742341
G09,G04,5120.33712095349
G09,G05,3709.81861668065
G09,G06,2670.98187288066
G09,G07,1624.55473253538
G09,G08,824.066647826454
G09,G10,812.442149584238
G09,G11,1642.56736311483
G09,G12,2472.45385903751
G09,G13,3266.13806712292
G09,G14,4131.1166605914
G09,G15,4896.34231113302
G09,G16,5988.41646621452
G10,G01,8487.25492962177
G10,G02,7317.44110875004
G10,G03,6473.76105491853
G10,G04,5929.34263899235
G10,G05,4521.11075575815
G10,G06,3483.3708446365
G10,G07,2436.99510451808
G10,G08,1636.41878171701
G10,G09,812.442149584172
G10,G11,830.289178492936
G10,G12,1660.89284546554
G10,G13,2460.38039909017
G10,G14,3328.45034781811
G10,G15,4096.80931415721
G10,G16,5231.60514264207
G11,G01,9293.70646509852
G11,G02,8133.65403604884
G11,G03,7295.58253492438
G11,G04,6754.92390068764
G11,G05,5349.35021697142
G11,G06,4313.16884947671
G11,G07,3267.00621145801
G11,G08,2466.62171479482
G11,G09,1642.56736311483
G11,G10,830.289178493135
G11,G12,831.281282132184
G11,G13,1639.04125347271
G11,G14,2509.72498290205
G11,G15,3280.98653501829
G11,G16,4468.0398603095
G12,G01,10093.8476577354
G12,G02,8944.72132739979
G12,G03,8113.18060240016
G12,G04,7577.10592636693
G12,G05,6175.30577744606
G12,G06,5141.7505833108
G12,G07,4096.19536734486
G12,G08,3296.42917140666
G12,G09,2472.45385903751
G12,G10,1660.89284546529
G12,G11,831.281282132095
G12,G13,820.441605750532
G12,G14,1689.80642011953
G12,G15,2462.51509847774
G12,G16,3709.48561636393
G13,G01,10816.8585070844
G13,G02,9687.21666667309
G13,G03,8868.5713618352
G13,G04,8342.40413359106
G13,G05,6950.85327215947
G13,G06,5925.75709602776
G13,G07,4883.66033609062
G13,G08,4087.52040598449
G13,G09,3266.138067123
G13,G10,2460.38039909015
G13,G11,1639.04125347261
G13,G12,820.441605751077
G13,G14,871.044798802036
G13,G15,1643.30821622938
G13,G16,2913.67351109511
G14,G01,11628.7792369042
G14,G02,10514.5637887152
G14,G03,9705.69614299726
G14,G04,9186.61967909244
G14,G05,7802.6509105051
G14,G06,6783.28997975038
G14,G07,5743.95334056841
G14,G08,4950.38092629857
G14,G09,4131.11666059096
G14,G10,3328.45034781793
G14,G11,2509.72498290188
G14,G12,1689.80642011972
G14,G13,871.04479880181
G14,G15,772.712023471849
G14,G16,2123.76215580711
G15,G01,12343.1467083604
G15,G02,11243.1322645362
G15,G03,10443.3277234924
G15,G04,9930.80050219832
G15,G05,8554.27010141963
G15,G06,7540.5241073802
G15,G07,6504.1723844692
G15,G08,5713.29138565593
G15,G09,4896.34231113326
G15,G10,4096.80931415723
G15,G11,3280.98653501861
G15,G12,2462.51509847779
G15,G13,1643.30821622951
G15,G14,772.712023471849
G15,G16,1475.84457001607
G16,G01,13097.0768891427
G16,G02,12064.3405257811
G16,G03,11311.9226326584
G16,G04,10835.7056788029
G16,G05,9510.69915173457
G16,G06,8540.32332324578
G16,G07,7535.42310718209
G16,G08,6774.28708464691
G16,G09,5988.41646621445
G16,G10,5231.60514264203
G16,G11,4468.03986030956
G16,G12,3709.48561636406
G16,G13,2913.67351109481
G16,G14,2123.76215580725
G16,G15,1475.84457001589
