cell,hours,geometry
51,9.0,"POLYGON ((-5.2 56, -5.1000000000000005 56, -5.1000000000000005 56.1, -5.2 56.1, -5.2 56))"
52,29.0,"POLYGON ((-5.2 56.1, -5.1000000000000005 56.1, -5.1000000000000005 56.2, -5.2 56.2, -5.2 56.1))"
53,302.0,"POLYGON ((-5.1 55, -5 55, -5 55.1, -5.1 55.1, -5.1 55))"
54,3077.0,"POLYGON ((-5.1 55.1, -5 55.1, -5 55.2, -5.1 55.2, -5.1 55.1))"
55,10307.0,"POLYGON ((-5.1 55.2, -5 55.2, -5 55.300000000000004, -5.1 55.300000000000004, -5.1 55.2))"
56,20887.0,"POLYGON ((-5.1 55.3, -5 55.3, -5 55.4, -5.1 55.4, -5.1 55.3))"
57,7758.0,"POLYGON ((-5.1 55.4, -5 55.4, -5 55.5, -5.1 55.5, -5.1 55.4))"
58,305.0,"POLYGON ((-5.1 55.5, -5 55.5, -5 55.6, -5.1 55.6, -5.1 55.5))"
59,5083.0,"POLYGON ((-5.1 55.6, -5 55.6, -5 55.7, -5.1 55.7, -5.1 55.6))"
60,11647.0,"POLYGON ((-5.1 55.7, -5 55.7, -5 55.800000000000004, -5.1 55.800000000000004, -5.1 55.7))"
61,480.0,"POLYGON ((-5.1 55.8, -5 55.8, -5 55.9, -5.1 55.9, -5.1 55.8))"
62,485.0,"POLYGON ((-5.1 55.9, -5 55.9, -5 56, -5.1 56, -5.1 55.9))"
64,100.0,"POLYGON ((-5 55.1, -4.9 55.1, -4.9 55.2, -5 55.2, -5 55.1))"
65,5534.0,"POLYGON ((-5 55.2, -4.9 55.2, -4.9 55.300000000000004, -5 55.300000000000004, -5 55.2))"
66,15874.0,"POLYGON ((-5 55.3, -4.9 55.3, -4.9 55.4, -5 55.4, -5 55.3))"
67,17001.0,"POLYGON ((-5 55.4, -4.9 55.4, -4.9 55.5, -5 55.5, -5 55.4))"
68,13275.0,"POLYGON ((-5 55.5, -4.9 55.5, -4.9 55.6, -5 55.6, -5 55.5))"
69,15043.0,"POLYGON ((-5 55.6, -4.9 55.6, -4.9 55.7, -5 55.7, -5 55.6))"
70,13551.0,"POLYGON ((-5 55.7, -4.9 55.7, -4.9 55.800000000000004, -5 55.800000000000004, -5 55.7))"
71,9278.0,"POLYGON ((-5 55.8, -4.9 55.8, -4.9 55.9, -5 55.9, -5 55.8))"
72,1334.0,"POLYGON ((-5 55.9, -4.9 55.9, -4.9 56, -5 56, -5 55.9))"
73,583.0,"POLYGON ((-4.9 55.2, -4.800000000000001 55.2, -4.800000000000001 55.300000000000004, -4.9 55.300000000000004, -4.9 55.2))"
74,7702.0,"POLYGON ((-4.9 55.3, -4.800000000000001 55.3, -4.800000000000001 55.4, -4.9 55.4, -4.9 55.3))"
75,15348.0,"POLYGON ((-4.9 55.4, -4.800000000000001 55.4, -4.800000000000001 55.5, -4.9 55.5, -4.9 55.4))"
76,16994.0,"POLYGON ((-4.9 55.5, -4.800000000000001 55.5, -4.800000000000001 55.6, -4.9 55.6, -4.9 55.5))"
77,19127.0,"POLYGON ((-4.9 55.6, -4.800000000000001 55.6, -4.800000000000001 55.7, -4.9 55.7, -4.9 55.6))"
78,8069.0,"POLYGON ((-4.9 55.7, -4.800000000000001 55.7, -4.800000000000001 55.800000000000004, -4.9 55.800000000000004, -4.9 55.7))"
79,15923.0,"POLYGON ((-4.9 55.8, -4.800000000000001 55.8, -4.800000000000001 55.9, -4.9 55.9, -4.9 55.8))"
80,10588.0,"POLYGON ((-4.9 55.9, -4.800000000000001 55.9, -4.800000000000001 56, -4.9 56, -4.9 55.9))"
81,5633.0,"POLYGON ((-4.9 56, -4.800000000000001 56, -4.800000000000001 56.1, -4.9 56.1, -4.9 56))"
82,186.0,"POLYGON ((-4.9 56.1, -4.800000000000001 56.1, -4.800000000000001 56.2, -4.9 56.2, -4.9 56.1))"
83,82.0,"POLYGON ((-4.8 55.3, -4.7 55.3, -4.7 55.4, -4.8 55.4, -4.8 55.3))"
84,7528.0,"POLYGON ((-4.8 55.4, -4.7 55.4, -4.7 55.5, -4.8 55.5, -4.8 55.4))"
85,17100.0,"POLYGON ((-4.8 55.5, -4.7 55.5, -4.7 55.6, -4.8 55.6, -4.8 55.5))"
86,8684.0,"POLYGON ((-4.8 55.6, -4.7 55.6, -4.7 55.7, -4.8 55.7, -4.8 55.6))"
87,16.0,"POLYGON ((-4.8 55.7, -4.7 55.7, -4.7 55.800000000000004, -4.8 55.800000000000004, -4.8 55.7))"
88,0.0,"POLYGON ((-4.8 55.9, -4.7 55.9, -4.7 56, -4.8 56, -4.8 55.9))"
89,1865.0,"POLYGON ((-4.8 56, -4.7 56, -4.7 56.1, -4.8 56.1, -4.8 56))"
90,132.0,"POLYGON ((-4.7 55.4, -4.6000000000000005 55.4, -4.6000000000000005 55.5, -4.7 55.5, -4.7 55.4))"
91,2207.0,"POLYGON ((-4.7 55.5, -4.6000000000000005 55.5, -4.6000000000000005 55.6, -4.7 55.6, -4.7 55.5))"
92,864.0,"POLYGON ((-4.7 55.6, -4.6000000000000005 55.6, -4.6000000000000005 55.7, -4.7 55.7, -4.7 55.6))"
93,80.0,"POLYGON ((-4.7 55.9, -4.6000000000000005 55.9, -4.6000000000000005 56, -4.7 56, -4.7 55.9))"
