cell,hours,geometry
75,45.0,"POLYGON ((-4.9 55.4, -4.800000000000001 55.4, -4.800000000000001 55.5, -4.9 55.5, -4.9 55.4))"
76,30.0,"POLYGON ((-4.9 55.5, -4.800000000000001 55.5, -4.800000000000001 55.6, -4.9 55.6, -4.9 55.5))"
77,126.0,"POLYGON ((-4.9 55.6, -4.800000000000001 55.6, -4.800000000000001 55.7, -4.9 55.7, -4.9 55.6))"
78,12.0,"POLYGON ((-4.9 55.7, -4.800000000000001 55.7, -4.800000000000001 55.800000000000004, -4.9 55.800000000000004, -4.9 55.7))"
79,4.0,"POLYGON ((-4.9 55.8, -4.800000000000001 55.8, -4.800000000000001 55.9, -4.9 55.9, -4.9 55.8))"
84,1.0,"POLYGON ((-4.8 55.4, -4.7 55.4, -4.7 55.5, -4.8 55.5, -4.8 55.4))"
85,9.0,"POLYGON ((-4.8 55.5, -4.7 55.5, -4.7 55.6, -4.8 55.6, -4.8 55.5))"
86,16.0,"POLYGON ((-4.8 55.6, -4.7 55.6, -4.7 55.7, -4.8 55.7, -4.8 55.6))"
90,3.0,"POLYGON ((-4.7 55.4, -4.6000000000000005 55.4, -4.6000000000000005 55.5, -4.7 55.5, -4.7 55.4))"
91,1.0,"POLYGON ((-4.7 55.5, -4.6000000000000005 55.5, -4.6000000000000005 55.6, -4.7 55.6, -4.7 55.5))"
