hours,percentage_hours,geometry
130.0,0.0002513729143619675,"POLYGON ((-5.3 56.1, -5.2 56.1, -5.2 56.2, -5.3 56.2, -5.3 56.1))"
2800.0,0.0054164075866684385,"POLYGON ((-5.2 55, -5.1000000000000005 55, -5.1000000000000005 55.1, -5.2 55.1, -5.2 55))"
14111.0,0.027300697431748833,"POLYGON ((-5.2 55.1, -5.1000000000000005 55.1, -5.1000000000000005 55.2, -5.2 55.2, -5.2 55.1))"
16319.0,0.03157190667337558,"POLYGON ((-5.2 55.2, -5.1000000000000005 55.2, -5.1000000000000005 55.300000000000004, -5.2 55.300000000000004, -5.2 55.2))"
20827.0,0.04029271072735861,"POLYGON ((-5.2 55.3, -5.1000000000000005 55.3, -5.1000000000000005 55.4, -5.2 55.4, -5.2 55.3))"
10722.0,0.02074430880555536,"POLYGON ((-5.2 55.4, -5.1000000000000005 55.4, -5.1000000000000005 55.5, -5.2 55.5, -5.2 55.4))"
8.0,1.5334485103954222e-05,"POLYGON ((-5.2 55.6, -5.1000000000000005 55.6, -5.1000000000000005 55.7, -5.2 55.7, -5.2 55.6))"
6422.0,0.012423600717580082,"POLYGON ((-5.2 55.7, -5.1000000000000005 55.7, -5.1000000000000005 55.800000000000004, -5.2 55.800000000000004, -5.2 55.7))"
5078.0,0.00982393034590977,"POLYGON ((-5.2 55.8, -5.1000000000000005 55.8, -5.1000000000000005 55.9, -5.2 55.9, -5.2 55.8))"
247.0,0.0004782096529731724,"POLYGON ((-5.2 55.9, -5.1000000000000005 55.9, -5.1000000000000005 56, -5.2 56, -5.2 55.9))"
9.0,1.8297769286445412e-05,"POLYGON ((-5.2 56, -5.1000000000000005 56, -5.1000000000000005 56.1, -5.2 56.1, -5.2 56))"
29.0,5.529582868862276e-05,"POLYGON ((-5.2 56.1, -5.1000000000000005 56.1, -5.1000000000000005 56.2, -5.2 56.2, -5.2 56.1))"
302.0,0.0005844043533813835,"POLYGON ((-5.1 55, -5 55, -5 55.1, -5.1 55.1, -5.1 55))"
3077.0,0.005953617087572589,"POLYGON ((-5.1 55.1, -5 55.1, -5 55.2, -5.1 55.2, -5.1 55.1))"
10307.0,0.019940069532406467,"POLYGON ((-5.1 55.2, -5 55.2, -5 55.300000000000004, -5.1 55.300000000000004, -5.1 55.2))"
20887.0,0.04040960953655622,"POLYGON ((-5.1 55.3, -5 55.3, -5 55.4, -5.1 55.4, -5.1 55.3))"
7758.0,0.015009155226552415,"POLYGON ((-5.1 55.4, -5 55.4, -5 55.5, -5.1 55.5, -5.1 55.4))"
305.0,0.0005892286918119644,"POLYGON ((-5.1 55.5, -5 55.5, -5 55.6, -5.1 55.6, -5.1 55.5))"
5083.0,0.009834852616946766,"POLYGON ((-5.1 55.6, -5 55.6, -5 55.7, -5.1 55.7, -5.1 55.6))"
11647.0,0.02253281214441707,"POLYGON ((-5.1 55.7, -5 55.7, -5 55.800000000000004, -5.1 55.800000000000004, -5.1 55.7))"
480.0,0.0009290835091550813,"POLYGON ((-5.1 55.8, -5 55.8, -5 55.9, -5.1 55.9, -5.1 55.8))"
485.0,0.0009375763439617758,"POLYGON ((-5.1 55.9, -5 55.9, -5 56, -5.1 56, -5.1 55.9))"
100.0,0.00019328362336275544,"POLYGON ((-5 55.1, -4.9 55.1, -4.9 55.2, -5 55.2, -5 55.1))"
5534.0,0.010707146923640132,"POLYGON ((-5 55.2, -4.9 55.2, -4.9 55.300000000000004, -5 55.300000000000004, -5 55.2))"
15874.0,0.030710412650799265,"POLYGON ((-5 55.3, -4.9 55.3, -4.9 55.4, -5 55.4, -5 55.3))"
17001.0,0.03289107690693969,"POLYGON ((-5 55.4, -4.9 55.4, -4.9 55.5, -5 55.5, -5 55.4))"
13275.0,0.02568218451694688,"POLYGON ((-5 55.5, -4.9 55.5, -4.9 55.6, -5 55.6, -5 55.5))"
15043.0,0.02910426688483993,"POLYGON ((-5 55.6, -4.9 55.6, -4.9 55.7, -5 55.7, -5 55.6))"
13551.0,0.02621588747564997,"POLYGON ((-5 55.7, -4.9 55.7, -4.9 55.800000000000004, -5 55.800000000000004, -5 55.7))"
9278.0,0.017950387957290672,"POLYGON ((-5 55.8, -4.9 55.8, -4.9 55.9, -5 55.9, -5 55.8))"
1334.0,0.002580763123508655,"POLYGON ((-5 55.9, -4.9 55.9, -4.9 56, -5 56, -5 55.9))"
583.0,0.0011271630634036433,"POLYGON ((-4.9 55.2, -4.800000000000001 55.2, -4.800000000000001 55.300000000000004, -4.9 55.300000000000004, -4.9 55.2))"
7702.0,0.014900000960845745,"POLYGON ((-4.9 55.3, -4.800000000000001 55.3, -4.800000000000001 55.4, -4.9 55.4, -4.9 55.3))"
15348.0,0.029692586793176386,"POLYGON ((-4.9 55.4, -4.800000000000001 55.4, -4.800000000000001 55.5, -4.9 55.5, -4.9 55.4))"
