"station";"zone";"site";"Longitude";"Latitude";"x";"y";"rec_id";"date_in";"date_out"
"C03";"Cap de Creus";"Cap de Creus Nord";3,23328;42,3512;519213,1033;4688797,106;130679;"22/07/2020";"14/09/2021"
"C03";"Cap de Creus";"Cap de Creus Nord";3,23328;42,3512;519213,1033;4688797,106;136596;"14/09/2021";"25/04/2022"
"C03";"Cap de Creus";"Cap de Creus Nord";3,23328;42,3512;519213,1033;4688797,106;125474;"25/04/2022";""
"C04";"Cap de Creus";"Cap de Creus Nord";3,24085;42,34793;519837,6023;4688435,757;128602;"22/07/2020";"14/09/2021"
"C04";"Cap de Creus";"Cap de Creus Nord";3,24085;42,34793;519837,6023;4688435,757;136603;"14/09/2021";"25/04/2022"
"C04";"Cap de Creus";"Cap de Creus Nord";3,24085;42,34793;519837,6023;4688435,757;137389;"25/04/2022";""
"C05";"Cap de Creus";"Tres Frares";3,25788;42,3373;521243,8568;4687259,56;105302;"22/07/2020";"14/09/2021"
"C05";"Cap de Creus";"Tres Frares";3,25788;42,3373;521243,8568;4687259,56;136738;"14/09/2021";"25/04/2022"
"C05";"Cap de Creus";"Tres Frares";3,25788;42,3373;521243,8568;4687259,56;125477;"25/04/2022";""
"C06";"Cap de Creus";"Tres Frares";3,26008;42,34143;521423,6884;4687718,689;105278;"22/07/2020";"22/07/2021"
"C06";"Cap de Creus";"Tres Frares";3,26008;42,34143;521423,6884;4687718,689;136584;"22/07/2021";"25/04/2022"
"C06";"Cap de Creus";"Tres Frares";3,26008;42,34143;521423,6884;4687718,689;136763;"25/04/2022";""
"C07";"Cap de Creus";"Tres Frares";3,2669;42,34136;521985,5001;4687712,657;125473;"22/07/2020";"13/09/2021"
"C07";"Cap de Creus";"Tres Frares";3,2669;42,34136;521985,5001;4687712,657;137394;"13/09/2021";"25/04/2022"
"C07";"Cap de Creus";"Tres Frares";3,2669;42,34136;521985,5001;4687712,657;137388;"25/04/2022";""
"C08";"Cap de Creus";"Tres Frares";3,27258;42,33915;522454,1685;4687468,752;105307;"22/07/2020";"14/09/2021"
"C08";"Cap de Creus";"Tres Frares";3,27258;42,33915;522454,1685;4687468,752;136605;"14/09/2021";"25/04/2022"
"C08";"Cap de Creus";"Tres Frares";3,27258;42,33915;522454,1685;4687468,752;110275;"25/04/2022";""
"C09";"Cap de Creus";"Tres Frares";3,27723;42,33846;522837,4689;4687393,375;136595;"27/07/2020";"14/09/2021"
"C09";"Cap de Creus";"Tres Frares";3,27723;42,33846;522837,4689;4687393,375;136594;"14/09/2021";""
"C10";"Cap de Creus";"Tres Frares";3,28026;42,33706;523087,5845;4687238,743;136599;"27/07/2020";"14/09/2021"
"C10";"Cap de Creus";"Tres Frares";3,28026;42,33706;523087,5845;4687238,743;100614;"14/09/2021";"25/04/2022"
"C10";"Cap de Creus";"Tres Frares";3,28026;42,33706;523087,5845;4687238,743;136753;"25/04/2022";""
"C11";"Cap de Creus";"Encalladora";3,31619;42,32631;526051,9065;4686055,488;136598;"27/07/2020";"15/09/2021"
"C11";"Cap de Creus";"Encalladora";3,31619;42,32631;526051,9065;4686055,488;130679;"15/09/2021";"26/04/2022"
"C11";"Cap de Creus";"Encalladora";3,31619;42,32631;526051,9065;4686055,488;136596;"26/04/2022";""
"C12";"Cap de Creus";"Encalladora";3,32039;42,32479;526398,5938;4685888,009;136606;"24/07/2020";"15/09/2021"
"C12";"Cap de Creus";"Encalladora";3,32039;42,32479;526398,5938;4685888,009;128602;"15/09/2021";"26/04/2022"
"C12";"Cap de Creus";"Encalladora";3,32039;42,32479;526398,5938;4685888,009;137394;"26/04/2022";""
"C13";"Cap de Creus";"Encalladora";3,32422;42,32333;526714,7854;4685727,092;136601;"24/07/2020";"15/09/2021"
"C13";"Cap de Creus";"Encalladora";3,32422;42,32333;526714,7854;4685727,092;136599;"15/09/2021";""
"C14";"Cap de Creus";"Encalladora";3,32156;42,32071;526496,7082;4685435,348;136597;"27/07/2020";"15/09/2021"
"C14";"Cap de Creus";"Encalladora";3,32156;42,32071;526496,7082;4685435,348;136595;"15/09/2021";"26/04/2022"
"C14";"Cap de Creus";"Encalladora";3,32156;42,32071;526496,7082;4685435,348;100674;"26/04/2022";""
"C15";"Cap de Creus";"Encalladora";3,3259;42,32088;526854,2545;4685455,585;136602;"21/07/2020";"16/09/2021"
"C15";"Cap de Creus";"Encalladora";3,3259;42,32088;526854,2545;4685455,585;136607;"16/09/2021";"26/04/2022"
"C15";"Cap de Creus";"Encalladora";3,3259;42,32088;526854,2545;4685455,585;137395;"26/04/2022";""
"C17";"Cap de Creus";"Massa d'Or";3,32963;42,32145;527161,3627;4685520,059;136609;"21/07/2020";"17/09/2021"
"C17";"Cap de Creus";"Massa d'Or";3,32963;42,32145;527161,3627;4685520,059;136601;"17/09/2021";""
"C18";"Cap de Creus";"Massa d'Or";3,33092;42,31907;527268,6858;4685256,207;136768;"22/07/2020";"17/09/2021"
"C18";"Cap de Creus";"Massa d'Or";3,33092;42,31907;527268,6858;4685256,207;136598;"17/09/2021";"26/04/2022"
"C18";"Cap de Creus";"Massa d'Or";3,33092;42,31907;527268,6858;4685256,207;137390;"26/04/2022";""
"C19";"Cap de Creus";"Massa d'Or";3,33342;42,31965;527474,4404;4685321,412;136604;"22/07/2020";"17/09/2021"
"C19";"Cap de Creus";"Massa d'Or";3,33342;42,31965;527474,4404;4685321,412;108864;"17/09/2021";"26/04/2022"
"C19";"Cap de Creus";"Massa d'Or";3,33342;42,31965;527474,4404;4685321,412;136584;"26/04/2022";""
"C20";"Cap de Creus";"Cap de Creus";3,32306;42,31836;526621,2996;4685174,884;136760;"22/07/2020";"16/09/2021"
"C20";"Cap de Creus";"Cap de Creus";3,32306;42,31836;526621,2996;4685174,884;136744;"16/09/2021";""
"C22";"Cap de Creus";"Messina";3,30622;42,2921;525244,1111;4682253,976;136600;"23/07/2020";"16/09/2021"
"C22";"Cap de Creus";"Messina";3,30622;42,2921;525244,1111;4682253,976;105278;"16/09/2021";"26/04/2022"
"C22";"Cap de Creus";"Messina";3,30622;42,2921;525244,1111;4682253,976;136743;"26/04/2022";""
"C23";"Cap de Creus";"Messina";3,31062;42,28933;525607,9599;4681947,724;136608;"23/07/2020";"16/09/2021"
"C23";"Cap de Creus";"Messina";3,31062;42,28933;525607,9599;4681947,724;136597;"16/09/2021";"27/04/2022"
"C23";"Cap de Creus";"Messina";3,31062;42,28933;525607,9599;4681947,724;108864;"27/04/2022";""
"C24";"Cap de Creus";"Caials";3,29998;42,28442;524732,7028;4681399,399;136757;"30/07/2020";"16/09/2021"
"C24";"Cap de Creus";"Caials";3,29998;42,28442;524732,7028;4681399,399;136758;"16/09/2021";"26/04/2022"
"C24";"Cap de Creus";"Caials";3,29998;42,28442;524732,7028;4681399,399;136605;"26/04/2022";""
"C25";"Cap de Creus";"Punta Figuera";3,27969;42,25272;523071,3915;4677873,921;136738;"30/07/2020";"13/09/2021"
"C25";"Cap de Creus";"Punta Figuera";3,27969;42,25272;523071,3915;4677873,921;136762;"13/09/2021";"27/04/2022"
"C25";"Cap de Creus";"Punta Figuera";3,27969;42,25272;523071,3915;4677873,921;128602;"27/04/2022";""
