Included in VUE,Tag model,Serial No. ,ID Code,Detecciones,VUE Tag ID,Tag life (days),Species,Length,Zone,Capture Lat,Latitude,Longitude,Capture Long,Location name,Capture date,Recapture date,Hour ini,Hour end,Release Lat,Release Long,Fishing type,External tag colour,External tag ID,Observation,PROBLEMS
,V9,1355996,40715,,A69-1602-40715,503,,,,,,,,,,,,,,,,,,,
,V9,1355997,40716,,A69-1602-40716,503,,,,,,,,,,,,,,,,,,,
,V9,1355998,40717,,A69-1602-40717,503,,,,,,,,,,,,,,,,,,,
Si,V9,1355999,40718,,A69-1602-40718,503,Scorpaena scrofa,41,Medes,"4,204,080",,,"322,754",Tascó Petit,20201028,,13:00,13:20,"4,204,080","322,754",En immersió i salabret,,20,,
Si,V9,1356000,40719,,A69-1602-40719,503,Sparus aurata,37,Badia de roses,"4,214,118",,,"312,532",San Marti d'Ampuries,20201103,,10:40,11:00,"4,214,118","312,532",palangre,vermell,26,Marc Castells,
Si,V9,1356001,40720,,A69-1602-40720,503,Pagrus pagrus,29,Banyuls,"4,250,319",,,"312,620",Paulille,20210506,,23:15,23:30,"4,250,319","312,620",palangre,blue tattoo ,,,
Si,V9,1356002,40721,,A69-1602-40721,503,Pagrus pagrus,33,Banyuls,"4,244,947",,,"316,776",Canadells,20210527,,22:40,22:55,"4,244,947","316,776",palangre,blue tattoo ,,,
Si,V9,1356003,40722,,A69-1602-40722,503,Sparus aurata,25,Banyuls,"4,246,101",,,"315,798",Plage Peyrefite,20210424,,16:30,16:45,"4,246,101","315,798",canya,blue tattoo ,,,
,V9,1356004,40723,,A69-1602-40723,503,,,,,,,,,,,,,,,,,,,
,V9,1356005,40724,,A69-1602-40724,503,Pagrus pagrus,24,Cap de Creus,"4,232,038",,,"332,679",Cap de Creus,20210916,,23:00,23:45,"4,232,075","332,284",palangre,,,,
Si,V9,1356006,40725,,A69-1602-40725,503,Scorpaena scrofa,42,Medes,"4,204,070",,,"322,651",Tascó Petit,20201028,,13:00,13:30,"4,204,070","322,651",En immersió i salabret,,21,,
Si,V9,1356007,40726,,A69-1602-40726,503,Sparus aurata,30,Badia de roses,"4,245,810",,,"323,520",,20200826,,10:40,11:35,"4,245,810","323,520",Palangre,Vermell,5,Li ha costat recuperar,
si,V9,1356008,40727,,A69-1602-40727,503,Sparus aurata,30,Badia de roses,"4,216,244",,,"311,939",,20200824,,20:51,21:38,"4,291,233","317,767",Nansa,,,Bon estat,
Si,V9,1356009,40728,,A69-1602-40728,503,Scorpaena scrofa,41,Medes,"4,204,975",,,"322,279",Salpatxot,20201008,,19:00,19:29,"4,204,975","322,279",Immersió ,vermell,12,Miquel,
Si,V9,1356010,40729,,A69-1602-40729,503,Sparus aurata,26,Badia de roses,"4,216,244",,,"311,939",,20200824,,20:51,21:38,"4,291,233","317,767",Nansa,,,Bon estat,
